t,geometry,alt,trajectory_id,title,storage_path,size,format,camera_model,place_id,osm_type,display_name,boundingbox,address,dew_point,max_temperature,min_temperature,pressure,wind_direction_max,wind_direction_min,wind_speed_max,wind_speed_min
2021-12-08 13:27:35,POINT (26.569410972222222 39.08484908333334),78.919,1,DJI_0047.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\inspire_2\DJI_0047.JPG,8.5,JPG,DJI_FC6520,340996249,way,"1, ΞΕΝΙΑ, Λόφος Ξενία, Vareia, Mytilene Municipal Unit, Municipality of Mytilene, Lesbos Regional Unit, Northern Aegean, Aegean, 811 00, Greece","['39.0845891', '39.085146', '26.5688929', '26.5694848']","{'house_number': '1', 'road': 'ΞΕΝΙΑ', 'neighbourhood': 'Λόφος Ξενία', 'village': 'Vareia', 'city': 'Mytilene Municipal Unit', 'municipality': 'Municipality of Mytilene', 'county': 'Lesbos Regional Unit', 'state_district': 'Northern Aegean', 'ISO3166-2-lvl5': 'GR-K', 'state': 'Aegean', 'postcode': '811 00', 'country': 'Greece', 'country_code': 'gr'}",9.0,14.0,14.0,1010.0,230.0,230.0,14.8,14.8
2021-12-08 13:27:43,POINT (26.56941258333333 39.084845),84.119,1,DJI_0048.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\inspire_2\DJI_0048.JPG,9.42,JPG,DJI_FC6520,340996249,way,"1, ΞΕΝΙΑ, Λόφος Ξενία, Vareia, Mytilene Municipal Unit, Municipality of Mytilene, Lesbos Regional Unit, Northern Aegean, Aegean, 811 00, Greece","['39.0845891', '39.085146', '26.5688929', '26.5694848']","{'house_number': '1', 'road': 'ΞΕΝΙΑ', 'neighbourhood': 'Λόφος Ξενία', 'village': 'Vareia', 'city': 'Mytilene Municipal Unit', 'municipality': 'Municipality of Mytilene', 'county': 'Lesbos Regional Unit', 'state_district': 'Northern Aegean', 'ISO3166-2-lvl5': 'GR-K', 'state': 'Aegean', 'postcode': '811 00', 'country': 'Greece', 'country_code': 'gr'}",9.0,14.0,14.0,1010.0,230.0,230.0,14.8,14.8
2021-12-08 13:27:52,POINT (26.569410972222222 39.08484880555556),94.419,1,DJI_0049.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\inspire_2\DJI_0049.JPG,8.22,JPG,DJI_FC6520,340996249,way,"1, ΞΕΝΙΑ, Λόφος Ξενία, Vareia, Mytilene Municipal Unit, Municipality of Mytilene, Lesbos Regional Unit, Northern Aegean, Aegean, 811 00, Greece","['39.0845891', '39.085146', '26.5688929', '26.5694848']","{'house_number': '1', 'road': 'ΞΕΝΙΑ', 'neighbourhood': 'Λόφος Ξενία', 'village': 'Vareia', 'city': 'Mytilene Municipal Unit', 'municipality': 'Municipality of Mytilene', 'county': 'Lesbos Regional Unit', 'state_district': 'Northern Aegean', 'ISO3166-2-lvl5': 'GR-K', 'state': 'Aegean', 'postcode': '811 00', 'country': 'Greece', 'country_code': 'gr'}",9.0,14.0,14.0,1010.0,230.0,230.0,14.8,14.8
2021-12-08 13:27:56,POINT (26.569409722222222 39.0848505),95.919,1,DJI_0050.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\inspire_2\DJI_0050.JPG,8.93,JPG,DJI_FC6520,340996249,way,"1, ΞΕΝΙΑ, Λόφος Ξενία, Vareia, Mytilene Municipal Unit, Municipality of Mytilene, Lesbos Regional Unit, Northern Aegean, Aegean, 811 00, Greece","['39.0845891', '39.085146', '26.5688929', '26.5694848']","{'house_number': '1', 'road': 'ΞΕΝΙΑ', 'neighbourhood': 'Λόφος Ξενία', 'village': 'Vareia', 'city': 'Mytilene Municipal Unit', 'municipality': 'Municipality of Mytilene', 'county': 'Lesbos Regional Unit', 'state_district': 'Northern Aegean', 'ISO3166-2-lvl5': 'GR-K', 'state': 'Aegean', 'postcode': '811 00', 'country': 'Greece', 'country_code': 'gr'}",9.0,14.0,14.0,1010.0,230.0,230.0,14.8,14.8
2021-12-08 13:28:06,POINT (26.569462527777777 39.084919222222226),95.919,1,DJI_0051.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\inspire_2\DJI_0051.JPG,8.67,JPG,DJI_FC6520,162166559,way,"University of Aegean, Πανεπιστημίου, Λόφος Ξενία, Vareia, Mytilene Municipal Unit, Municipality of Mytilene, Lesbos Regional Unit, Northern Aegean, Aegean, 811 00, Greece","['39.082758', '39.0865758', '26.5674222', '26.570065']","{'amenity': 'University of Aegean', 'road': 'Πανεπιστημίου', 'neighbourhood': 'Λόφος Ξενία', 'village': 'Vareia', 'city': 'Mytilene Municipal Unit', 'municipality': 'Municipality of Mytilene', 'county': 'Lesbos Regional Unit', 'state_district': 'Northern Aegean', 'ISO3166-2-lvl5': 'GR-K', 'state': 'Aegean', 'postcode': '811 00', 'country': 'Greece', 'country_code': 'gr'}",9.0,14.0,14.0,1010.0,230.0,230.0,14.8,14.8
2021-12-08 13:28:08,POINT (26.56947263888889 39.084945000000005),95.919,1,DJI_0052.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\inspire_2\DJI_0052.JPG,8.67,JPG,DJI_FC6520,162166559,way,"University of Aegean, Πανεπιστημίου, Λόφος Ξενία, Vareia, Mytilene Municipal Unit, Municipality of Mytilene, Lesbos Regional Unit, Northern Aegean, Aegean, 811 00, Greece","['39.082758', '39.0865758', '26.5674222', '26.570065']","{'amenity': 'University of Aegean', 'road': 'Πανεπιστημίου', 'neighbourhood': 'Λόφος Ξενία', 'village': 'Vareia', 'city': 'Mytilene Municipal Unit', 'municipality': 'Municipality of Mytilene', 'county': 'Lesbos Regional Unit', 'state_district': 'Northern Aegean', 'ISO3166-2-lvl5': 'GR-K', 'state': 'Aegean', 'postcode': '811 00', 'country': 'Greece', 'country_code': 'gr'}",9.0,14.0,14.0,1010.0,230.0,230.0,14.8,14.8
2021-12-08 13:28:20,POINT (26.56943825 39.08504627777778),95.719,1,DJI_0053.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\inspire_2\DJI_0053.JPG,9.14,JPG,DJI_FC6520,162166559,way,"University of Aegean, Πανεπιστημίου, Λόφος Ξενία, Vareia, Mytilene Municipal Unit, Municipality of Mytilene, Lesbos Regional Unit, Northern Aegean, Aegean, 811 00, Greece","['39.082758', '39.0865758', '26.5674222', '26.570065']","{'amenity': 'University of Aegean', 'road': 'Πανεπιστημίου', 'neighbourhood': 'Λόφος Ξενία', 'village': 'Vareia', 'city': 'Mytilene Municipal Unit', 'municipality': 'Municipality of Mytilene', 'county': 'Lesbos Regional Unit', 'state_district': 'Northern Aegean', 'ISO3166-2-lvl5': 'GR-K', 'state': 'Aegean', 'postcode': '811 00', 'country': 'Greece', 'country_code': 'gr'}",9.0,14.0,14.0,1010.0,230.0,230.0,14.8,14.8
2021-12-08 13:28:26,POINT (26.56941297222222 39.085103583333336),96.019,1,DJI_0054.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\inspire_2\DJI_0054.JPG,9.3,JPG,DJI_FC6520,162166559,way,"University of Aegean, Πανεπιστημίου, Λόφος Ξενία, Vareia, Mytilene Municipal Unit, Municipality of Mytilene, Lesbos Regional Unit, Northern Aegean, Aegean, 811 00, Greece","['39.082758', '39.0865758', '26.5674222', '26.570065']","{'amenity': 'University of Aegean', 'road': 'Πανεπιστημίου', 'neighbourhood': 'Λόφος Ξενία', 'village': 'Vareia', 'city': 'Mytilene Municipal Unit', 'municipality': 'Municipality of Mytilene', 'county': 'Lesbos Regional Unit', 'state_district': 'Northern Aegean', 'ISO3166-2-lvl5': 'GR-K', 'state': 'Aegean', 'postcode': '811 00', 'country': 'Greece', 'country_code': 'gr'}",9.0,14.0,14.0,1010.0,230.0,230.0,14.8,14.8
2021-12-08 13:28:30,POINT (26.56937936111111 39.08515811111111),95.719,1,DJI_0055.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\inspire_2\DJI_0055.JPG,9.19,JPG,DJI_FC6520,162166559,way,"University of Aegean, Πανεπιστημίου, Λόφος Ξενία, Vareia, Mytilene Municipal Unit, Municipality of Mytilene, Lesbos Regional Unit, Northern Aegean, Aegean, 811 00, Greece","['39.082758', '39.0865758', '26.5674222', '26.570065']","{'amenity': 'University of Aegean', 'road': 'Πανεπιστημίου', 'neighbourhood': 'Λόφος Ξενία', 'village': 'Vareia', 'city': 'Mytilene Municipal Unit', 'municipality': 'Municipality of Mytilene', 'county': 'Lesbos Regional Unit', 'state_district': 'Northern Aegean', 'ISO3166-2-lvl5': 'GR-K', 'state': 'Aegean', 'postcode': '811 00', 'country': 'Greece', 'country_code': 'gr'}",9.0,14.0,14.0,1010.0,230.0,230.0,14.8,14.8
2021-12-08 13:28:39,POINT (26.56925136111111 39.085206500000005),95.919,1,DJI_0057.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\inspire_2\DJI_0057.JPG,9.25,JPG,DJI_FC6520,162166559,way,"University of Aegean, Πανεπιστημίου, Λόφος Ξενία, Vareia, Mytilene Municipal Unit, Municipality of Mytilene, Lesbos Regional Unit, Northern Aegean, Aegean, 811 00, Greece","['39.082758', '39.0865758', '26.5674222', '26.570065']","{'amenity': 'University of Aegean', 'road': 'Πανεπιστημίου', 'neighbourhood': 'Λόφος Ξενία', 'village': 'Vareia', 'city': 'Mytilene Municipal Unit', 'municipality': 'Municipality of Mytilene', 'county': 'Lesbos Regional Unit', 'state_district': 'Northern Aegean', 'ISO3166-2-lvl5': 'GR-K', 'state': 'Aegean', 'postcode': '811 00', 'country': 'Greece', 'country_code': 'gr'}",9.0,14.0,14.0,1010.0,230.0,230.0,14.8,14.8
