t,geometry,alt,trajectory_id,title,storage_path,size,format,camera_model
2021-11-07 16:30:44,POINT (23.84230986111111 38.02184777777778),196.238,1,DJI_0097.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\photo_set_1\DJI_0097.JPG,5.28,JPG,DJI_FC7203
2021-11-07 16:30:48,POINT (23.842309944444445 38.02178055555555),195.938,1,DJI_0098.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\photo_set_1\DJI_0098.JPG,5.19,JPG,DJI_FC7203
2021-11-07 16:30:50,POINT (23.84230961111111 38.021711027777776),195.938,1,DJI_0099.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\photo_set_1\DJI_0099.JPG,5.21,JPG,DJI_FC7203
2021-11-07 16:30:52,POINT (23.84230625 38.02163586111111),195.938,1,DJI_0100.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\photo_set_1\DJI_0100.JPG,5.26,JPG,DJI_FC7203
2021-11-07 16:30:54,POINT (23.842306027777777 38.02156405555556),196.138,1,DJI_0101.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\photo_set_1\DJI_0101.JPG,5.27,JPG,DJI_FC7203
2021-11-07 16:30:58,POINT (23.84230897222222 38.02148413888889),196.138,1,DJI_0102.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\photo_set_1\DJI_0102.JPG,5.1,JPG,DJI_FC7203
2021-11-07 16:31:02,POINT (23.842306805555555 38.02145875),196.438,1,DJI_0103.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\photo_set_1\DJI_0103.JPG,5.09,JPG,DJI_FC7203
2021-11-07 16:31:15,POINT (23.84241663888889 38.02145108333333),196.338,1,DJI_0104.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\photo_set_1\DJI_0104.JPG,5.4,JPG,DJI_FC7203
2021-11-07 16:31:17,POINT (23.84241513888889 38.02150261111111),196.438,1,DJI_0105.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\photo_set_1\DJI_0105.JPG,5.21,JPG,DJI_FC7203
2021-11-07 16:31:19,POINT (23.842414583333333 38.02158186111111),196.238,1,DJI_0106.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\photo_set_1\DJI_0106.JPG,5.02,JPG,DJI_FC7203
2021-11-07 16:31:21,POINT (23.842414305555554 38.02165791666667),195.838,1,DJI_0107.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\photo_set_1\DJI_0107.JPG,4.99,JPG,DJI_FC7203
2021-11-07 16:31:23,POINT (23.842418666666667 38.02173441666667),194.938,1,DJI_0108.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\photo_set_1\DJI_0108.JPG,5.32,JPG,DJI_FC7203
2021-11-07 16:31:28,POINT (23.84242722222222 38.02180908333333),194.938,1,DJI_0109.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\photo_set_1\DJI_0109.JPG,5.05,JPG,DJI_FC7203
2021-11-07 16:31:30,POINT (23.842427027777777 38.02181838888889),195.338,1,DJI_0110.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\photo_set_1\DJI_0110.JPG,5.12,JPG,DJI_FC7203
2021-11-07 16:31:43,POINT (23.842535972222223 38.02181083333333),196.738,1,DJI_0111.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\photo_set_1\DJI_0111.JPG,5.2,JPG,DJI_FC7203
2021-11-07 16:31:46,POINT (23.842533083333333 38.021730749999996),196.938,1,DJI_0112.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\photo_set_1\DJI_0112.JPG,5.55,JPG,DJI_FC7203
2021-11-07 16:31:48,POINT (23.842538027777778 38.021656972222225),196.338,1,DJI_0113.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\photo_set_1\DJI_0113.JPG,5.04,JPG,DJI_FC7203
2021-11-07 16:31:50,POINT (23.84254383333333 38.021586),196.238,1,DJI_0114.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\photo_set_1\DJI_0114.JPG,5.34,JPG,DJI_FC7203
2021-11-07 16:31:52,POINT (23.842544916666665 38.02152044444444),196.438,1,DJI_0115.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\photo_set_1\DJI_0115.JPG,5.18,JPG,DJI_FC7203
2021-11-07 16:31:59,POINT (23.842547805555554 38.021455583333335),196.038,1,DJI_0116.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\photo_set_1\DJI_0116.JPG,5.07,JPG,DJI_FC7203
2021-11-07 16:32:14,POINT (23.842658472222222 38.02145188888889),196.338,1,DJI_0117.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\photo_set_1\DJI_0117.JPG,5.44,JPG,DJI_FC7203
2021-11-07 16:32:16,POINT (23.842652666666666 38.02153022222222),195.738,1,DJI_0118.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\photo_set_1\DJI_0118.JPG,5.08,JPG,DJI_FC7203
2021-11-07 16:32:18,POINT (23.842653833333333 38.02160225),195.838,1,DJI_0119.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\photo_set_1\DJI_0119.JPG,5.3,JPG,DJI_FC7203
2021-11-07 16:32:20,POINT (23.84265986111111 38.02167486111111),195.738,1,DJI_0120.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\photo_set_1\DJI_0120.JPG,5.35,JPG,DJI_FC7203
2021-11-07 16:32:23,POINT (23.84266247222222 38.021734055555555),195.738,1,DJI_0121.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\photo_set_1\DJI_0121.JPG,5.38,JPG,DJI_FC7203
2021-11-07 16:32:28,POINT (23.842668444444442 38.02178719444444),195.138,1,DJI_0122.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\photo_set_1\DJI_0122.JPG,5.02,JPG,DJI_FC7203
2021-11-07 16:32:42,POINT (23.842781027777775 38.02178147222222),196.538,1,DJI_0123.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\photo_set_1\DJI_0123.JPG,5.3,JPG,DJI_FC7203
2021-11-07 16:32:45,POINT (23.842777777777776 38.021700833333334),196.438,1,DJI_0124.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\photo_set_1\DJI_0124.JPG,5.38,JPG,DJI_FC7203
2021-11-07 16:32:48,POINT (23.842778888888887 38.02163161111111),196.438,1,DJI_0125.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\photo_set_1\DJI_0125.JPG,5.22,JPG,DJI_FC7203
2021-11-07 16:32:50,POINT (23.84278286111111 38.02156180555556),196.338,1,DJI_0126.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\photo_set_1\DJI_0126.JPG,5.23,JPG,DJI_FC7203
2021-11-07 16:32:52,POINT (23.842788277777778 38.021491527777776),196.438,1,DJI_0127.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\photo_set_1\DJI_0127.JPG,5.13,JPG,DJI_FC7203
2021-11-07 16:32:58,POINT (23.842792638888888 38.02145319444444),195.938,1,DJI_0128.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\photo_set_1\DJI_0128.JPG,5.21,JPG,DJI_FC7203
2021-11-07 16:33:12,POINT (23.842906083333332 38.02144802777778),196.238,1,DJI_0129.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\photo_set_1\DJI_0129.JPG,5.41,JPG,DJI_FC7203
2021-11-07 16:33:15,POINT (23.84290297222222 38.02151166666667),196.038,1,DJI_0130.JPG,C:\Users\andre\Andreas\Ευφυή Συστήματα Πληροφορικής\movingpandas\tutorials\photosets\photo_set_1\DJI_0130.JPG,5.3,JPG,DJI_FC7203
